State,Year,Week,ILITotal,TotalPatients
Alabama,2010,40,249,11664
Alaska,2010,40,15,1714
Arizona,2010,40,172,25492
Arkansas,2010,40,18,2586
California,2010,40,632,32342
Colorado,2010,40,134,20282
Connecticut,2010,40,3,3831
Delaware,2010,40,4,3995
District of Columbia,2010,40,73,2599
Georgia,2010,40,647,40314
Hawaii,2010,40,20,1943
Idaho,2010,40,19,4579
Illinois,2010,40,505,39390
Indiana,2010,40,65,12525
Iowa,2010,40,10,1776
Kansas,2010,40,39,8819
Kentucky,2010,40,19,13293
Louisiana,2010,40,391,17141
Maine,2010,40,22,6150
Maryland,2010,40,117,8869
Massachusetts,2010,40,168,27786
Michigan,2010,40,98,14587
Minnesota,2010,40,38,6611
Mississippi,2010,40,491,16874
Missouri,2010,40,106,9621
Montana,2010,40,1,2694
Nebraska,2010,40,61,2773
Nevada,2010,40,175,10499
New Hampshire,2010,40,3,3951
New Jersey,2010,40,163,7040
New Mexico,2010,40,160,7505
New York,2010,40,37,14069
North Carolina,2010,40,134,25215
North Dakota,2010,40,42,6256
Ohio,2010,40,29,12705
Oklahoma,2010,40,19,3044
Oregon,2010,40,37,6711
Pennsylvania,2010,40,122,17347
Rhode Island,2010,40,15,6382
South Carolina,2010,40,33,7397
South Dakota,2010,40,63,5713
Tennessee,2010,40,32,11651
Texas,2010,40,1050,50844
Utah,2010,40,43,5751
Vermont,2010,40,41,2777
Virginia,2010,40,660,57721
Washington,2010,40,16,3137
West Virginia,2010,40,143,8952
Wisconsin,2010,40,23,4946
Wyoming,2010,40,32,5056
New York City,2010,40,1059,89577
Alabama,2010,41,239,11602
Alaska,2010,41,19,1684
Arizona,2010,41,183,24402
Arkansas,2010,41,18,2670
California,2010,41,742,34469
Colorado,2010,41,115,18294
Connecticut,2010,41,9,3780
Delaware,2010,41,15,4070
District of Columbia,2010,41,81,2802
Georgia,2010,41,702,40979
Hawaii,2010,41,32,1826
Idaho,2010,41,68,4664
Illinois,2010,41,600,41354
Indiana,2010,41,84,12861
Iowa,2010,41,20,2323
Kansas,2010,41,49,8485
Kentucky,2010,41,23,10269
Louisiana,2010,41,325,15871
Maine,2010,41,26,5979
Maryland,2010,41,99,4717
Massachusetts,2010,41,216,24328
Michigan,2010,41,95,16239
Minnesota,2010,41,35,6466
Mississippi,2010,41,523,17605
Missouri,2010,41,90,9672
Montana,2010,41,5,2763
Nebraska,2010,41,68,2486
Nevada,2010,41,187,11428
New Hampshire,2010,41,4,4326
New Jersey,2010,41,189,7626
New Mexico,2010,41,142,7232
New York,2010,41,47,12712
North Carolina,2010,41,141,26280
North Dakota,2010,41,43,5956
Ohio,2010,41,55,15209
Oklahoma,2010,41,29,3025
Oregon,2010,41,38,6089
Pennsylvania,2010,41,157,17239
Rhode Island,2010,41,12,5954
South Carolina,2010,41,54,7054
South Dakota,2010,41,44,5543
Tennessee,2010,41,59,11812
Texas,2010,41,1061,50670
Utah,2010,41,29,7057
Vermont,2010,41,40,2946
Virginia,2010,41,754,60977
Washington,2010,41,34,3269
West Virginia,2010,41,170,10694
Wisconsin,2010,41,31,5328
Wyoming,2010,41,21,4766
New York City,2010,41,1258,89710
Alabama,2010,42,232,11945
Alaska,2010,42,11,1877
Arizona,2010,42,240,25174
Arkansas,2010,42,17,3306
California,2010,42,766,34170
Colorado,2010,42,152,18905
Connecticut,2010,42,15,4009
Delaware,2010,42,14,4154
District of Columbia,2010,42,74,3070
Georgia,2010,42,793,39404
Hawaii,2010,42,14,1854
Idaho,2010,42,64,4545
Illinois,2010,42,644,41122
Indiana,2010,42,76,13006
Iowa,2010,42,10,2457
Kansas,2010,42,43,8963
Kentucky,2010,42,25,16010
Louisiana,2010,42,402,16545
Maine,2010,42,27,6402
Maryland,2010,42,173,11895
Massachusetts,2010,42,209,28061
Michigan,2010,42,81,15451
Minnesota,2010,42,33,6332
Mississippi,2010,42,534,17911
Missouri,2010,42,94,9496
Montana,2010,42,5,2690
Nebraska,2010,42,94,2839
Nevada,2010,42,171,11335
New Hampshire,2010,42,17,5790
New Jersey,2010,42,191,8496
New Mexico,2010,42,126,7523
New York,2010,42,53,14636
North Carolina,2010,42,116,25377
North Dakota,2010,42,32,5639
Ohio,2010,42,84,16044
Oklahoma,2010,42,70,3381
Oregon,2010,42,36,7425
Pennsylvania,2010,42,161,18273
Rhode Island,2010,42,25,6890
South Carolina,2010,42,28,7190
South Dakota,2010,42,43,5436
Tennessee,2010,42,61,12211
Texas,2010,42,1090,51887
Utah,2010,42,36,8171
Vermont,2010,42,45,3036
Virginia,2010,42,758,61855
Washington,2010,42,28,3096
West Virginia,2010,42,134,8777
Wisconsin,2010,42,69,5807
Wyoming,2010,42,23,5206
New York City,2010,42,1175,90998
Alabama,2010,43,274,12036
Alaska,2010,43,18,1860
Arizona,2010,43,233,26215
Arkansas,2010,43,12,2901
California,2010,43,666,34733
Colorado,2010,43,175,19238
Connecticut,2010,43,16,4797
Delaware,2010,43,19,4126
District of Columbia,2010,43,101,3241
Georgia,2010,43,881,36901
Hawaii,2010,43,27,1715
Idaho,2010,43,58,4531
Illinois,2010,43,623,42741
Indiana,2010,43,76,13079
Iowa,2010,43,9,4912
Kansas,2010,43,53,9850
Kentucky,2010,43,27,17987
Louisiana,2010,43,326,16904
Maine,2010,43,22,6501
Maryland,2010,43,146,11517
Massachusetts,2010,43,228,29092
Michigan,2010,43,152,16496
Minnesota,2010,43,42,6586
Mississippi,2010,43,538,17090
Missouri,2010,43,91,9482
