"","State","Year","Month","ILITotal","TotalPatients"
"1","Alabama",2010,10,994,47247
"2","Alabama",2010,11,1555,44875
"3","Alabama",2010,12,3665,43646
"4","Alabama",2011,1,7222,58704
"5","Alabama",2011,2,5740,50241
"6","Alabama",2011,3,2054,40367
"7","Alabama",2011,4,1133,38719
"8","Alabama",2011,5,706,26046
"9","Alabama",2011,6,523,22560
"10","Alabama",2011,7,460,26614
"11","Alabama",2011,8,397,22479
"12","Alabama",2011,9,784,24635
"13","Alabama",2011,10,1515,47811
"14","Alabama",2011,11,1381,35609
"15","Alabama",2011,12,1940,41252
"16","Alabama",2012,1,1989,36682
"17","Alabama",2012,2,2727,42223
"18","Alabama",2012,3,2403,43201
"19","Alabama",2012,4,1314,31988
"20","Alabama",2012,5,1279,28293
"21","Alabama",2012,6,951,26830
"22","Alabama",2012,7,689,20798
"23","Alabama",2012,8,740,22014
"24","Alabama",2012,9,1417,29097
"25","Alabama",2012,10,1052,62613
"26","Alabama",2012,11,1739,60287
"27","Alabama",2012,12,6762,75524
"28","Alabama",2013,1,3333,51771
"29","Alabama",2013,2,2032,52308
"30","Alabama",2013,3,1859,58326
"31","Alabama",2013,4,531,42690
"32","Alabama",2013,5,247,34867
"33","Alabama",2013,6,180,38815
"34","Alabama",2013,7,81,28093
"35","Alabama",2013,8,152,39740
"36","Alabama",2013,9,317,33781
"37","Alabama",2013,10,1113,55439
"38","Alabama",2013,11,2433,71506
"39","Alabama",2013,12,3440,52216
"40","Alabama",2014,1,2433,46037
"41","Alabama",2014,2,1373,42879
"42","Alabama",2014,3,826,46318
"43","Alabama",2014,4,419,34010
"44","Alabama",2014,5,531,37979
"45","Alabama",2014,6,289,25813
"46","Alabama",2014,7,193,23704
"47","Alabama",2014,8,429,33930
"48","Alabama",2014,9,526,27120
"49","Alabama",2014,10,950,51484
"50","Alabama",2014,11,2330,56158
"51","Alabama",2014,12,5207,41711
"52","Alabama",2015,1,4385,51013
"53","Alabama",2015,2,2595,36402
"54","Alabama",2015,3,1444,32895
"55","Alabama",2015,4,517,29755
"56","Alabama",2015,5,342,24103
"57","Alabama",2015,6,150,16659
"58","Alabama",2015,7,116,15173
"59","Alabama",2015,8,260,26039
"60","Alabama",2015,9,306,25991
"61","Alabama",2015,10,1188,50354
"62","Alabama",2015,11,1163,45445
"63","Alabama",2015,12,1217,42510
"64","Alabama",2016,1,1673,56080
"65","Alabama",2016,2,1657,44869
"66","Alabama",2016,3,1991,35904
"67","Alabama",2016,4,1646,40471
"68","Alabama",2016,5,657,26139
"69","Alabama",2016,6,299,20115
"70","Alabama",2016,7,231,24228
"71","Alabama",2016,8,311,23273
"72","Alabama",2016,9,383,23913
"73","Alabama",2016,10,731,36953
"74","Alabama",2016,11,764,28801
"75","Alabama",2016,12,1423,37097
"76","Alabama",2017,1,1524,30510
"77","Alabama",2017,2,2584,35285
"78","Alabama",2017,3,2120,33015
"79","Alabama",2017,4,1146,35524
"80","Alabama",2017,5,609,26437
"81","Alabama",2017,6,195,18082
"82","Alabama",2017,7,172,21204
"83","Alabama",2017,8,200,18118
"84","Alabama",2017,9,424,25389
"85","Alabama",2017,10,2945,157015
"86","Alabama",2017,11,4010,154678
"87","Alabama",2017,12,10949,193610
"88","Alabama",2018,1,18848,164596
"89","Alabama",2018,2,15471,168106
"90","Alabama",2018,3,4766,177711
"91","Alabama",2018,4,2463,152939
"92","Alabama",2018,5,1732,148345
"93","Alabama",2018,6,1359,170218
"94","Alabama",2018,7,910,142640
"95","Alabama",2018,8,1291,145101
"96","Alabama",2018,9,2232,155340
"97","Arizona",2010,10,828,101283
