State,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,,
AL,2010,6.21,4.22,5.07,2.82,6.15,3.26,3.5,4.84,1.61,2.59,4.73,2.2,,
AL,2011,4.03,3.49,8.17,5.08,1.64,3.55,5.52,2.05,7.21,0.79,4.13,5.04,,
AL,2012,5.44,4.49,5.35,1.89,4.16,4,5.75,6.07,5.35,2.91,1.36,6.61,,
AL,2013,6.27,8.86,3.83,5.71,4,5.81,8.7,5.5,3.2,1.47,3.42,7.93,,
AL,2014,2.7,5.75,5.57,9.67,4.27,5.23,3.36,3.25,2.51,4.38,2.98,6.36,,
AL,2015,4.34,4.05,4.28,7.14,4.32,3.27,4.71,4.94,2.71,2.93,6.8,11.87,,
AL,2016,4.06,5.85,5.42,5.68,2.14,3.81,4.27,4.58,1.72,0.13,2.3,5.05,,
AL,2017,8.99,3.63,4.15,4.04,6.92,10.66,5.03,6.03,3.18,5.87,1.04,3.82,,
AL,2018,2.32,7.25,4.14,5.95,5.54,4.67,4.48,5.34,,,,,,
AZ,2010,3.41,1.44,1.03,0.27,0.06,0.08,1.97,1.84,0.6,1.35,0.19,1.67,,
AZ,2011,0.05,1.05,0.33,0.41,0.28,0.02,1.76,1.28,1.31,0.67,0.92,1.55,,
AZ,2012,0.26,0.43,0.69,0.32,0.05,0.08,2.52,2.22,1.07,0.25,0.21,1.46,,
AZ,2013,1.3,0.51,0.57,0.2,0.06,0.03,2.68,2.39,1.88,0.21,1.86,0.44,,
AZ,2014,0.03,0.16,0.9,0.24,0.07,0.01,1.86,3.13,2.49,0.6,0.11,1.47,,
AZ,2015,1.79,0.64,1.12,0.42,1,0.08,1.91,2.1,1.37,1.88,0.76,0.6,,
AZ,2016,1.4,0.29,0.11,0.8,0.52,0.43,1.39,2.57,1.35,0.35,0.94,2.13,,
AZ,2017,2.06,1.26,0.41,0.19,0.41,0.06,2.94,1.38,0.61,0.03,0.02,0.13,,
AZ,2018,0.56,1.07,0.44,0.04,0.15,0.33,2.33,2.06,,,,,,
AR,2010,3.92,3.32,2.99,3.06,6.2,2.61,4.46,1.73,3.3,1.31,4.35,1.54,,
AR,2011,1.6,4.12,2.8,10.6,8.31,1.67,2.03,4.26,2.49,2.54,8.45,6.97,,
AR,2012,2.92,3.03,6.71,2.56,1.47,1.98,2.82,4.37,5.01,3.29,1.74,3.91,,
AR,2013,6.04,4.07,3.51,5.23,6.29,3.32,4.04,3.83,3.47,4.84,3.85,5.75,,
AR,2014,1.98,2.67,4.66,5.54,6.05,6.24,4.34,2.89,2.42,5.43,2.68,3.01,,
AR,2015,3.49,3.18,8.02,5.75,10.56,3.99,4.92,3.02,1.47,3.75,10.72,8.44,,
AR,2016,2.02,2.43,9.89,5.8,4.54,3.1,4.82,7.42,1.8,1.58,3.28,3.76,,
AR,2017,3.01,2.72,4.53,8.69,6.57,4.23,4.69,6.28,1.21,1.82,1.13,5.22,,
AR,2018,2.71,11.84,5.43,5.06,3.28,2.94,3,6.4,,,,,,
CA,2010,6.48,3.65,2.19,3.47,1.07,0.26,0.07,0.1,0.16,3,2.6,8.13,,
CA,2011,1.28,3.34,6.41,1.1,1.44,0.92,0.22,0.1,0.28,1.54,1.69,0.47,,
CA,2012,3.12,1.22,4.74,2.48,0.2,0.32,0.26,0.3,0.1,0.99,3.57,6.15,,
CA,2013,1.19,0.58,1.33,0.71,0.62,0.38,0.28,0.38,0.77,0.26,0.99,0.44,,
CA,2014,0.54,4.02,3.28,1.06,0.35,0.06,0.22,0.45,0.72,1.06,1.84,6.3,,
CA,2015,0.65,2.86,0.78,1.06,0.93,0.23,0.66,0.08,0.33,0.9,1.87,4.69,,
CA,2016,6.39,1.21,4.88,1.52,0.77,0.27,0.06,0.06,0.1,3.82,2.16,4.49,,
CA,2017,9.74,7.78,2.37,2.73,0.42,0.27,0.1,0.25,0.41,0.33,2.96,0.29,,
CA,2018,3.33,0.57,5.11,2.13,0.67,0.07,0.21,0.04,,,,,,
CO,2010,0.88,1.21,1.74,2.13,1.34,1.35,2.46,2.34,0.73,1.41,0.95,1.65,,
CO,2011,0.71,1.17,1.16,2.1,2.57,0.94,2.54,1.6,1.27,1.66,0.99,0.91,,
CO,2012,0.69,1.36,0.45,1.38,0.91,0.42,2.27,1.07,1.29,0.72,0.44,1.31,,
CO,2013,0.91,0.89,1.07,1.67,1.55,0.66,2.44,2.24,3.88,1.51,1.15,0.82,,GA
CO,2014,1.18,1.18,1.15,1.35,2.15,1.19,2.76,2.59,2.08,1.08,1.12,1.31,,ID
CO,2015,0.65,1.35,0.86,1.88,5.3,1.91,2.37,1.67,0.76,1.82,1.69,1.47,,IL
CO,2016,1.02,0.85,1.28,2.74,2.07,1.35,1.64,2.07,1,0.49,0.92,1.65,,IN
CO,2017,2.29,1,1.19,2.16,2.82,0.69,3.05,1.87,1.98,0.93,0.52,0.4,,IA
CO,2018,0.81,1.12,0.91,1.37,1.54,0.98,2.07,1.47,,,,,,KS
CT,2010,2.94,4.51,9.95,1.7,2.94,3.36,3.53,3.58,2.62,5.47,3.38,4.56,,KY
CT,2011,3.36,3.84,4.74,5.52,4.87,6.15,2.17,11.56,7.78,5.6,3.57,4.53,,LA
CT,2012,2.86,1.09,1.3,3,3.94,4.3,3.78,3.85,5.41,4.36,0.8,4.7,,ME
CT,2013,1.72,3.62,2.35,1.49,4.47,10.6,3.67,3.92,2.84,1.36,3.7,3.65,,MD
