State,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
AL,2010,40,40.6,51.2,64.2,73.3,80.9,82.6,83,76.9,64.3,55.2,40.3
AL,2011,41.1,49.5,57.8,65.7,69.9,81.3,81.7,81.8,72.1,60.6,55.3,49.3
AL,2012,50.1,52.1,64.6,65,73.4,76.8,81.6,78.1,73,62.2,51.2,50.9
AL,2013,50.1,48,49.8,62.2,68.2,78,77.7,77.9,75,64.9,51.6,47.9
AL,2014,37.3,47.3,52.3,62.4,70.2,77.9,77.8,79.5,76.3,65.2,48.2,50
AL,2015,43.6,41.3,57.8,66,71.8,78.8,81.6,79,74.4,65,59.2,56.9
AL,2016,43,49.8,59.7,63.6,70.2,79.2,82,81.6,78.6,68.5,57.8,50.1
AL,2017,52.4,55.6,58.3,67.2,70,75.8,80.6,78.7,73.5,65.8,55.6,47
AL,2018,40.4,57.9,55.2,59.3,74.4,79.2,80.7,79.5,,,,
AZ,2010,42.2,44.3,49.2,56.1,63.1,75.9,81.8,79,75.4,62.7,48.3,46.7
AZ,2011,41.5,41.7,53.3,58.9,63.2,75.7,80.8,82.2,74.6,62.8,49.4,39.9
AZ,2012,45.3,45.6,51.6,60.6,69.3,78.7,80,80.5,73.7,63.8,53.8,42.4
AZ,2013,38.6,42.2,54.8,59.4,67.4,79.5,81,78.5,72.4,58.8,51.3,41.5
AZ,2014,46.5,50,53.9,59.1,66.8,77.7,81.4,76.5,74.2,64.9,51.7,44.3
AZ,2015,45.1,52,56.3,58.4,62.9,78.4,78.6,80.6,75,64.5,48.3,40.9
AZ,2016,41.8,50.6,54.9,58.5,64.6,80.3,82.4,77.5,71.6,66.1,53.1,44.7
AZ,2017,42.3,49.3,56.6,59.7,66.1,79.8,81.4,79.1,72.4,64.9,57.6,46.6
AZ,2018,47.6,46.8,52.4,62.9,68.5,78.7,82.2,80.2,,,,
AR,2010,36.5,36.5,50.5,63.4,71.3,81.6,82,83.9,74.8,62.7,52,38.9
AR,2011,37.6,43.9,52.5,63.5,67.3,81.7,84.7,83.1,70.2,60.6,53.4,43.3
AR,2012,44.6,47.2,62.2,64.4,73.2,78,84.1,80.2,73.5,59.3,50.2,46.4
AR,2013,42.1,43.3,46.6,58.5,67.2,77.1,78,78.4,75.4,61.5,47.5,40.1
AR,2014,35.2,38.8,46.5,59.6,68.1,76.7,75.4,78.7,72.6,63.7,44.9,43.8
AR,2015,38.6,36.1,49.7,62.5,69.3,78.1,81.9,78.1,74.8,63.5,54.2,50
AR,2016,39.5,46.9,55.5,62.5,67.2,78.9,82,80,75.8,67,55.7,42.5
AR,2017,45.3,52.5,55.7,64.2,67.7,75.6,80.6,76.9,73.2,62.9,53.7,42.4
AR,2018,35.7,45.8,53.8,55.2,75,80,81.7,78.8,,,,
CA,2010,45.2,46.8,49,50.9,56.9,69.1,76.1,73.4,70.4,60.5,48.6,45.8
CA,2011,45.2,43.4,48.7,53.4,57.6,66.9,74.2,75.2,72.2,61.4,48.2,42.8
CA,2012,46.5,46.5,48.8,55.8,63.9,69.3,74.7,77.8,73.1,62.2,52.5,43
CA,2013,42.1,45.3,53.8,58.2,63.8,72.4,78,74.4,69.3,58.5,51.9,44.1
CA,2014,50.1,49.8,53.5,57.7,64.6,71.9,78.4,74.9,72.2,64.4,53.1,46.8
CA,2015,48.6,53.2,56.9,56.7,60.8,74.4,75,76.5,72.1,65,47.6,42.3
CA,2016,44.5,51.8,52.5,57.9,62.2,73.5,76.8,76.2,69.5,60.5,52.8,43.4
CA,2017,42.1,47.3,53.4,55.6,63.4,72.8,78.8,77.8,69.8,61.9,53.3,47.5
CA,2018,48.8,46.6,49,57.2,63,71.5,79.7,76.6,,,,
CO,2010,26.1,24.6,35.2,43.6,50.1,64,68.6,66.5,61.2,49.2,33.6,31.1
CO,2011,24,24.2,37.7,43,49.3,62.9,70,69.2,58.5,47.1,34.9,24.4
CO,2012,29.4,27.4,41.9,48.2,55.4,67.9,70.6,67.7,59.5,46.5,39.4,25.9
CO,2013,22.9,25.7,35,39.8,52.8,65.6,68.5,67,60.7,44.2,35.2,23.7
CO,2014,26.4,27.6,36.3,43.3,52.4,62.5,68.4,64.6,60,49.9,33.4,27.9
CO,2015,29.2,32.1,40.6,44.8,49.8,64.9,66.6,66.9,62.6,51.4,34.6,25.8
CO,2016,25.6,32.4,37.9,43.7,50.8,66.4,69.2,64.5,59.7,51.8,40.2,25.2
CO,2017,25.3,35.4,42.5,44.3,51.5,64.8,69.4,64.7,59.1,46.7,41.3,30.1
CO,2018,29.7,28.6,37.8,44,57.2,66.4,69.9,66.2,,,,
CT,2010,27,29.8,43,52,60.9,68.9,75.1,71,65.6,52.8,41.9,28.2
CT,2011,23.2,27.1,37,48.9,59.7,66.9,74.1,70.8,66.4,53.4,45.9,36.9
CT,2012,31.7,35,45.8,49.7,61.6,66.4,74.1,72,63.3,54.7,39.4,35.9
CT,2013,28.8,29.2,36,47.3,58.2,67.7,75.9,68.7,61.4,53.4,39.8,31
CT,2014,23.6,25,30.6,46.7,58.3,66.8,71.9,68.4,63.6,54.1,39.7,35.4
CT,2015,23.3,15.8,31,47,62.7,65.3,72.2,72,67.8,51.4,46.1,43.5
CT,2016,29.7,32,43.2,46.8,58.4,67.4,74.1,73.9,66.2,53.5,43.5,32.6
CT,2017,32.8,34.6,33.3,51.8,56.6,67.1,71.6,69.2,66.2,58.7,40.9,28.5
CT,2018,25.4,35.6,36.1,43.2,61.8,66,74,74.1,,,,
DE,2010,33.3,31.4,48.1,57.5,66.2,77.4,79.9,77,71.4,58.6,47.5,31.7
DE,2011,30.3,38.8,43.9,57.2,66.4,74.3,80.6,75.5,70.7,57.2,50.8,43.4
DE,2012,39.3,41.1,52.5,55,67.8,72.9,80.9,76.8,68.4,59.3,43.5,44.1
DE,2013,37.4,35.9,40.5,54.6,63.7,73.5,79.2,73.4,66.7,59.5,45.1,40.4
DE,2014,30,33.9,39.6,52.9,64.8,72.8,75.8,72.6,69.1,59.4,44.6,41
DE,2015,32.1,26.3,40,54.2,67.9,73.6,76.9,75.1,72,56.5,51.6,50.8
DE,2016,34.3,38.5,49.7,53.1,61.7,72.4,79.6,78.6,72,60.3,49,39.2
DE,2017,39,44.3,43.7,59.7,62.7,73.6,78.4,74,69.8,62.4,47.6,36.2
DE,2018,32.7,43.2,40.7,51.5,68.2,72.8,77.2,78.6,,,,
FL,2010,52.5,52.6,59,69.7,78.5,83.1,83.4,83.5,80.9,72.1,64.9,50.1
FL,2011,54.9,61.8,66.5,73,76.2,82.1,82.6,83.7,79.7,70.5,66.4,62.8
FL,2012,59.3,64.3,70.3,71.2,77.6,79.3,82.4,81.5,79.5,73.2,62.1,62
FL,2013,64,61.8,59.1,71.4,74.1,81.1,80.8,82.2,80,74,67.1,64.7
FL,2014,54.5,62.8,63.5,70.5,76,80.3,81.8,82.9,79.7,72.7,61.1,61.9
FL,2015,58.6,56.5,69.5,75.1,77.5,81.7,82.8,82.4,80,74.4,72.2,69.6
FL,2016,56.9,59.4,68.8,71.2,76.2,81.9,84,83,81.1,74.6,66.6,65.9
FL,2017,62.7,65.4,66.2,72.2,77,80.2,82.8,82.8,80.4,74.8,67.4,61.6
FL,2018,55,69.1,62.9,70.1,76.4,81.5,82.4,82.1,,,,
GA,2010,41.8,42.1,52.1,64.5,73.6,81,82.2,82.2,76.5,64.8,54.8,39.9
GA,2011,41.8,51.1,57.8,65.8,71.3,81.1,81.9,82.2,73.7,61.6,56.2,51.3
GA,2012,50,52.8,64.8,65.6,73.5,75.6,82.2,78.1,74,64.7,52.6,52.1
GA,2013,52.5,48.8,50.3,62.9,68.4,77.8,78.2,78,74.5,65,53.2,51.2
GA,2014,40,49.8,52.9,63.1,71.2,78.3,78.9,79.2,75.5,65.6,49.8,51.3
GA,2015,44.9,43.2,58.8,66.8,72.4,79.3,81.5,79.5,73.8,64.8,59.8,58.9
GA,2016,44.4,50,60.9,63.9,70.8,79.7,82.8,81.6,77.5,67.8,58,52.1
GA,2017,53.1,56.6,58,67.6,71.4,76.6,80.6,79.3,74.1,67,56.6,49.3
GA,2018,42.4,59.1,54.5,60.5,73.5,79.2,80,79.2,,,,
ID,2010,28.2,28.9,35.2,40,44.1,55.5,64.2,62.8,56.4,47.5,30.5,26.6
ID,2011,24,24.3,33.4,36.4,45.8,54,64.3,66.1,59.6,45.4,30.5,24.8
ID,2012,26.8,28,36.4,44.4,49,56.9,68.5,67.3,58.4,43.7,36,25.8
ID,2013,20.2,27.5,35.1,40.1,51,59.3,69.6,67.6,57.1,42.1,33.8,21.1
ID,2014,27.7,28,36.2,41.6,51.6,56.7,69.3,63.8,57.6,48.5,31.1,29.1
ID,2015,28.7,35.2,40.8,42.3,51.8,64.7,65.1,65.8,57.2,50.7,29.9,24.3
ID,2016,25.8,31.9,37,47,50.6,61.2,64.8,64.7,54.6,45.7,38.7,19.1
ID,2017,18.5,29.5,38.5,40.3,50.5,59.1,69.9,66.9,55.7,41.8,34.8,25.1
ID,2018,30.4,26.2,33.7,42.4,54,57.7,68.5,65,,,,
IL,2010,21.5,25.7,43.8,58.7,64.3,74.9,77.6,76.8,67.2,56.5,43.7,24
IL,2011,22.7,30.2,41.6,53.1,62.1,72.9,79.9,74.8,63.6,55.2,45.8,35.9
IL,2012,31.9,35.8,55.5,54.6,68.1,72.6,81.8,73.6,64.9,52.5,41.2,36.8
IL,2013,29.2,29.9,34.3,50.2,63.9,71.5,73.1,72.8,68.6,54.5,38.8,26.2
IL,2014,19.3,19.4,34.4,52.4,63.7,73,70.3,73.8,64.7,54.3,34.6,33.9
IL,2015,25.7,19.4,38.3,54.3,64.9,71.7,74.2,71.9,70.4,56,46.6,41.1
IL,2016,26.9,33.8,47.3,53,62,74.8,75.6,75.7,70.8,59.9,48.1,28.9
IL,2017,32.2,41.1,43.2,56.5,61.9,72.8,76.1,70.5,68.7,58.1,41.9,29.8
IL,2018,24.1,31.8,39.2,44.8,70.7,74.9,75.1,74.7,,,,
IN,2010,23.9,25.7,43.6,57.3,64.3,74.1,76.4,75.6,67.2,56,42.8,24.3
IN,2011,23.7,31.2,41.7,53,62.1,72.2,78.8,73.1,63.6,53.9,46.9,36.6
IN,2012,32.4,35.4,55,52.9,67.7,71.6,80.2,71.9,64.2,52.1,40,38.2
IN,2013,29.9,30.2,34.8,50.8,64.4,70.8,72.3,71.5,66.9,54.3,39.2,29.4
IN,2014,19.4,22,34.1,52.4,62.9,72.6,69.1,72.4,64,53.8,35.6,34.6
IN,2015,25.3,19.3,37.2,52.9,65,71,72.9,70.6,68.8,55.6,46.6,42.5
IN,2016,27.5,33.9,47.3,52,60.6,72.9,74.6,75.7,69.9,59.5,47,29.8
IN,2017,33.8,41.3,42.6,57,60.8,71.1,74.2,69.9,67.1,57.5,42.3,29.6
IN,2018,24.5,35.1,38.2,45.1,69.6,73.4,74.1,73.9,,,,
IA,2010,13.6,17.3,38.4,55.2,59.9,70.8,74.6,74.4,63.1,53.9,38,19.1
IA,2011,14.8,22.6,35.1,47.6,59.1,69.6,78,72,60.2,53.4,39.4,29.1
IA,2012,26.5,29.6,51.6,52.4,65,71.4,79.4,71,62.1,48.8,39.2,27.7
IA,2013,22,24.2,29,43.8,59,68.9,72.3,71.9,67,50.5,33.9,17.4
